epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2782.05,0.99779,0.86529,1.37105,0.86781,0.84449,0.88895,0.68258,0.93236,0.6287,1.24884,0.00123566,0.00123566,0.00123566
43,2843.76,0.99016,0.85969,1.35152,0.83474,0.81424,0.88664,0.68383,0.91721,0.66117,1.2453,0.00123094,0.00123094,0.00123094
44,2889.62,0.97892,0.83837,1.36817,0.76786,0.81959,0.83835,0.62497,0.98363,0.80794,1.27909,0.00122622,0.00122622,0.00122622
45,2932.27,0.98473,0.8934,1.36527,0.82514,0.80103,0.84379,0.57528,1.1966,0.7979,1.42828,0.00122151,0.00122151,0.00122151
46,3005.4,1.01265,0.89457,1.39293,0.83853,0.80621,0.86795,0.66455,0.96719,0.70469,1.24735,0.00121679,0.00121679,0.00121679
47,3068.26,0.98175,0.89042,1.36727,0.84666,0.86173,0.90308,0.65833,1.09398,0.66507,1.35368,0.00121208,0.00121208,0.00121208
48,3126.76,0.97556,0.82142,1.36396,0.88766,0.84026,0.90496,0.65867,1.02282,0.63573,1.29171,0.00120736,0.00120736,0.00120736
49,3174.26,0.9756,0.88137,1.35613,0.92185,0.76699,0.91009,0.67095,1.00794,0.68173,1.2951,0.00120265,0.00120265,0.00120265
50,3224.71,0.99702,0.84406,1.38335,0.89107,0.82104,0.90281,0.71162,0.86771,0.63964,1.20108,0.00119793,0.00119793,0.00119793
51,3271.48,0.99647,0.84691,1.37762,0.8743,0.82491,0.90247,0.70025,0.92717,0.62073,1.24321,0.00119322,0.00119322,0.00119322
52,3323.22,1.03524,0.84287,1.39899,0.86792,0.76665,0.88679,0.67465,1.01955,0.68043,1.29489,0.0011885,0.0011885,0.0011885
53,3395.84,0.99666,0.84621,1.3715,0.78959,0.81283,0.87281,0.66084,0.94654,0.70349,1.26021,0.00118378,0.00118378,0.00118378
54,3446.97,0.9633,0.8406,1.36928,0.7874,0.86526,0.8934,0.59835,1.28042,0.69704,1.49341,0.00117907,0.00117907,0.00117907
