epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2910.82,1.02633,1.00025,1.396,0.83126,0.73479,0.81242,0.62382,0.92471,0.79853,1.24843,0.00123094,0.00123094,0.00123094
44,2962.11,1.04468,1.03257,1.40965,0.67526,0.69236,0.7174,0.46948,1.26773,1.39753,1.41032,0.00122622,0.00122622,0.00122622
45,3026.04,1.01951,0.98545,1.39007,0.79828,0.74019,0.81346,0.60516,0.99817,0.9381,1.30197,0.00122151,0.00122151,0.00122151
46,3104.01,1.03206,1.01377,1.40717,0.83623,0.76741,0.82766,0.60265,0.97889,0.78089,1.29508,0.00121679,0.00121679,0.00121679
47,3160.85,1.01343,0.97197,1.38721,0.84011,0.74586,0.84633,0.62052,1.0509,0.74425,1.31572,0.00121208,0.00121208,0.00121208
48,3213.06,1.03374,1.02522,1.39923,0.77999,0.82648,0.86666,0.59421,1.14156,0.7508,1.39559,0.00120736,0.00120736,0.00120736
49,3277.66,1.0127,0.98741,1.38626,0.77702,0.76801,0.82028,0.59051,1.09594,0.88434,1.41211,0.00120265,0.00120265,0.00120265
50,3345.92,1.01285,1.00898,1.38982,0.75908,0.6905,0.77742,0.58309,0.99599,0.93103,1.32658,0.00119793,0.00119793,0.00119793
51,3423.22,0.99541,0.99733,1.37411,0.80983,0.79087,0.85871,0.594,1.12314,0.74718,1.38703,0.00119322,0.00119322,0.00119322
52,3488.82,0.98197,0.92966,1.36634,0.88225,0.81111,0.87604,0.67025,0.92026,0.66708,1.24334,0.0011885,0.0011885,0.0011885
53,3544.62,1.00977,0.98978,1.38818,0.85411,0.7533,0.85467,0.61142,1.06958,0.77967,1.33896,0.00118378,0.00118378,0.00118378
54,3609.01,0.97841,0.94418,1.3596,0.77757,0.82389,0.86558,0.66954,0.90548,0.74622,1.22957,0.00117907,0.00117907,0.00117907
55,3654.12,0.98901,0.96153,1.35922,0.82648,0.78277,0.85379,0.64198,0.95944,0.76785,1.25536,0.00117435,0.00117435,0.00117435
56,3713.06,0.9992,0.947,1.37796,0.81568,0.79995,0.8586,0.65531,0.96946,0.72707,1.265,0.00116964,0.00116964,0.00116964
57,3779.29,1.00169,0.98058,1.39102,0.8483,0.83646,0.87251,0.64634,1.02659,0.7034,1.29124,0.00116492,0.00116492,0.00116492
58,3836.04,0.9781,0.94371,1.36525,0.83032,0.78029,0.87846,0.62099,1.09638,0.7133,1.34319,0.00116021,0.00116021,0.00116021
59,3886.78,1.00935,0.94543,1.36221,0.88973,0.72795,0.86325,0.65576,0.9288,0.71785,1.24506,0.00115549,0.00115549,0.00115549
60,3947.44,1.00649,0.93186,1.38895,0.83346,0.71893,0.82927,0.63319,0.92898,0.82284,1.25722,0.00115077,0.00115077,0.00115077
61,4000.18,1.00412,0.95007,1.37852,0.84523,0.76754,0.87427,0.65017,0.9343,0.76062,1.26683,0.00114606,0.00114606,0.00114606
62,4061.54,0.97538,0.88972,1.35231,0.82797,0.81515,0.86287,0.60016,1.13556,0.76395,1.38565,0.00114134,0.00114134,0.00114134
63,4140.49,0.98676,0.95724,1.35131,0.87139,0.7988,0.87986,0.66306,0.94963,0.65927,1.257,0.00113663,0.00113663,0.00113663
