epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6208.81,0.92241,0.60427,1.22706,0.91268,0.93066,0.96546,0.76454,0.81216,0.40729,1.1717,0.00884029,0.00884029,0.00884029
43,6385.16,0.92542,0.61448,1.2277,0.92513,0.92288,0.965,0.76584,0.81258,0.4046,1.17046,0.008812,0.008812,0.008812
44,6562.12,0.90657,0.59757,1.21749,0.917,0.92955,0.96612,0.76478,0.82286,0.40412,1.17457,0.00878371,0.00878371,0.00878371
45,6738.9,0.91408,0.60403,1.2193,0.92037,0.92567,0.96738,0.7711,0.80247,0.3961,1.16369,0.00875543,0.00875543,0.00875543
46,6915.84,0.90627,0.59093,1.21355,0.91222,0.9402,0.96668,0.77473,0.79852,0.39426,1.16293,0.00872714,0.00872714,0.00872714
47,7093.06,0.89813,0.59002,1.20867,0.91252,0.9403,0.96758,0.77398,0.7898,0.38844,1.15535,0.00869886,0.00869886,0.00869886
48,7269.21,0.8897,0.58624,1.20407,0.92611,0.93416,0.9695,0.77834,0.78133,0.38426,1.15304,0.00867057,0.00867057,0.00867057
49,7446.19,0.89208,0.58473,1.20673,0.9137,0.9518,0.96998,0.78482,0.77427,0.37904,1.14487,0.00864229,0.00864229,0.00864229
50,7623.18,0.88722,0.57811,1.20277,0.92653,0.93808,0.97024,0.78437,0.77291,0.3761,1.14536,0.008614,0.008614,0.008614
51,7799.63,0.88065,0.57612,1.19854,0.927,0.93882,0.96929,0.7862,0.76888,0.37533,1.14389,0.00858571,0.00858571,0.00858571
52,7976.54,0.87592,0.56828,1.19555,0.92558,0.94105,0.97076,0.78761,0.76266,0.37055,1.13883,0.00855743,0.00855743,0.00855743
53,8152.99,0.87236,0.5714,1.19217,0.92767,0.94155,0.97127,0.79284,0.75153,0.36463,1.13552,0.00852914,0.00852914,0.00852914
54,8329.75,0.87361,0.5674,1.19209,0.93141,0.94253,0.97266,0.79532,0.74502,0.36057,1.13158,0.00850086,0.00850086,0.00850086
55,8506.63,0.85896,0.55876,1.18334,0.93477,0.94327,0.97305,0.79607,0.74091,0.35747,1.12935,0.00847257,0.00847257,0.00847257
56,8683.71,0.85568,0.54957,1.17918,0.92664,0.95365,0.9721,0.79894,0.73568,0.35232,1.12491,0.00844429,0.00844429,0.00844429
57,8860.78,0.85683,0.56511,1.18123,0.94095,0.93951,0.97195,0.80035,0.72942,0.35008,1.11979,0.008416,0.008416,0.008416
58,9037.73,0.85573,0.55494,1.1832,0.93685,0.94253,0.97189,0.80209,0.7254,0.34852,1.11815,0.00838771,0.00838771,0.00838771
59,9214.86,0.84533,0.55179,1.17565,0.93522,0.94587,0.97259,0.80343,0.72022,0.34819,1.11325,0.00835943,0.00835943,0.00835943
60,9391.94,0.85127,0.55834,1.17811,0.93613,0.94364,0.97325,0.80389,0.72072,0.3489,1.1128,0.00833114,0.00833114,0.00833114
61,9569.23,0.83651,0.54879,1.16851,0.93213,0.95227,0.97318,0.80496,0.71675,0.34578,1.11122,0.00830286,0.00830286,0.00830286
62,9746.62,0.83966,0.54681,1.1703,0.9394,0.94842,0.97333,0.80601,0.7116,0.34458,1.11027,0.00827457,0.00827457,0.00827457
63,9923.6,0.83221,0.5366,1.16709,0.93486,0.95244,0.97489,0.80911,0.70825,0.34214,1.10975,0.00824629,0.00824629,0.00824629
64,10101.2,0.8291,0.53252,1.16187,0.93296,0.95365,0.975,0.81044,0.70182,0.3394,1.10599,0.008218,0.008218,0.008218
65,10278.2,0.82323,0.52798,1.15981,0.93717,0.9512,0.97508,0.81293,0.69454,0.33684,1.10259,0.00818971,0.00818971,0.00818971
66,10455.5,0.81913,0.52795,1.15571,0.93565,0.95427,0.97518,0.81498,0.68889,0.33573,1.10005,0.00816143,0.00816143,0.00816143
67,10632.5,0.82086,0.53072,1.15826,0.93851,0.95143,0.97562,0.81552,0.68657,0.33391,1.09956,0.00813314,0.00813314,0.00813314
68,10809.6,0.81491,0.53432,1.15661,0.9418,0.94793,0.9758,0.81589,0.68416,0.33318,1.09744,0.00810486,0.00810486,0.00810486
69,10986.7,0.81363,0.53065,1.15499,0.94074,0.94957,0.97619,0.81683,0.6816,0.33247,1.09587,0.00807657,0.00807657,0.00807657
70,11164,0.81051,0.52823,1.15383,0.94198,0.94809,0.976,0.81783,0.67753,0.33037,1.09405,0.00804829,0.00804829,0.00804829
71,11340.7,0.8084,0.52634,1.149,0.93926,0.95328,0.97614,0.81891,0.67575,0.329,1.09374,0.00802,0.00802,0.00802
72,11517.5,0.80316,0.52185,1.14628,0.94223,0.94949,0.97586,0.82039,0.67314,0.32825,1.09207,0.00799171,0.00799171,0.00799171
73,11694.1,0.80373,0.52512,1.14842,0.94251,0.9483,0.97577,0.82055,0.6707,0.32706,1.08988,0.00796343,0.00796343,0.00796343
74,11871.5,0.79324,0.51847,1.14067,0.93781,0.95625,0.97602,0.82166,0.66868,0.32629,1.08869,0.00793514,0.00793514,0.00793514
75,12048.4,0.79482,0.52278,1.14372,0.93565,0.95773,0.97608,0.82216,0.66644,0.3245,1.08795,0.00790686,0.00790686,0.00790686
76,12224.9,0.79222,0.51623,1.14107,0.93655,0.95774,0.97598,0.82348,0.66402,0.32254,1.08644,0.00787857,0.00787857,0.00787857
77,12402.1,0.78381,0.51124,1.13662,0.93575,0.95996,0.97557,0.8247,0.66174,0.32102,1.08497,0.00785029,0.00785029,0.00785029
78,12579,0.78331,0.5147,1.13383,0.94761,0.9492,0.97618,0.82645,0.65959,0.31942,1.08351,0.007822,0.007822,0.007822
79,12755.9,0.78356,0.51075,1.13394,0.94399,0.95032,0.97628,0.82784,0.6567,0.31887,1.08191,0.00779371,0.00779371,0.00779371
80,12932.8,0.77516,0.50172,1.12901,0.94509,0.9509,0.97681,0.8288,0.65365,0.3172,1.08043,0.00776543,0.00776543,0.00776543
81,13109.9,0.77222,0.50388,1.12838,0.94687,0.9518,0.97691,0.83021,0.6517,0.31709,1.07952,0.00773714,0.00773714,0.00773714
82,13287,0.76955,0.49529,1.12301,0.94297,0.95551,0.97663,0.83046,0.64936,0.31652,1.07852,0.00770886,0.00770886,0.00770886
83,13464.4,0.76633,0.49176,1.12154,0.94491,0.95551,0.97685,0.83182,0.64764,0.31516,1.07786,0.00768057,0.00768057,0.00768057
84,13641.7,0.75874,0.49465,1.11851,0.94638,0.95554,0.9768,0.83166,0.64518,0.31414,1.07591,0.00765229,0.00765229,0.00765229
85,13818.3,0.76866,0.49854,1.12596,0.94746,0.95606,0.97709,0.83256,0.64296,0.31311,1.0745,0.007624,0.007624,0.007624
